threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,1155,1155,0.5775,1.0,0.5775,0.9225239616613419,0.9515,1.0,0.07747603833865814,0.0345375,0.059805194805194806,10.6515,0.030583003535866737,0.0,0.0,0,0,0.5429625000000001
0.25,2000,1155,1155,0.5775,1.0,0.5775,0.9225239616613419,0.9515,1.0,0.07747603833865814,0.0345375,0.059805194805194806,10.6515,0.030583003535866737,0.0,0.0,0,0,0.5429625000000001
0.5,2000,1155,1155,0.5775,1.0,0.5775,0.9225239616613419,0.9515,1.0,0.07747603833865814,0.0345375,0.059805194805194806,10.6515,0.030583003535866737,0.0,0.0,0,0,0.5429625000000001
0.75,2000,1155,1155,0.5775,1.0,0.5775,0.9225239616613419,0.9515,1.0,0.07747603833865814,0.0345375,0.059805194805194806,10.6515,0.030583003535866737,0.0,0.0,0,0,0.5429625000000001
0.8,2000,1155,1155,0.5775,1.0,0.5775,0.9225239616613419,0.9515,1.0,0.07747603833865814,0.0345375,0.059805194805194806,10.6515,0.030583003535866737,0.0,0.0,0,0,0.5429625000000001
0.825,2000,1135,1135,0.5675,1.0,0.5675,0.9065495207667732,0.9415,1.0,0.09345047923322684,0.0329375,0.05803964757709251,10.2015,0.030583003535866737,0.0,0.0,0,0,0.5345625
0.85,2000,1009,1009,0.5045,1.0,0.5045,0.8059105431309904,0.8785,1.0,0.19408945686900958,0.0228575,0.04530723488602576,7.3665,0.030583003535866737,0.0,0.0,0,0,0.48164250000000003
0.875,2000,1009,1009,0.5045,1.0,0.5045,0.8059105431309904,0.8785,1.0,0.19408945686900958,0.0228575,0.04530723488602576,7.3665,0.030583003535866737,0.0,0.0,0,0,0.48164250000000003
0.9,2000,767,767,0.3835,1.0,0.3835,0.6126198083067093,0.7575,1.0,0.38738019169329074,0.0085475,0.022288135593220338,3.184,0.026669095677789297,0.0,0.0,0,0,0.37495249999999997
0.925,2000,753,753,0.3765,1.0,0.3765,0.6014376996805112,0.7505,1.0,0.3985623003194888,0.0078475,0.020843293492695883,2.974,0.026374997105449438,0.0,0.0,0,0,0.36865250000000005
0.95,2000,739,739,0.3695,1.0,0.3695,0.5902555910543131,0.7435,1.0,0.4097444089456869,0.0071475,0.019343707713125845,2.764,0.025874993298202753,0.0,0.0,0,0,0.3623525
0.975,2000,553,553,0.2765,1.0,0.2765,0.4416932907348243,0.6505,1.0,0.5583067092651757,0.0041475,0.015,1.822,0.025291046767961234,0.0,0.0,0,0,0.2723525
1.0,2000,0,0,0.0,,0.0,0.0,0.374,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
