threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,912,766,0.456,0.8399122807017544,0.383,0.617741935483871,0.725,0.9,0.3258064516129032,0.022015,0.05748041775456919,7.552,0.029173235816415392,0.0075,0.0,0,0,0.301955
0.25,2000,773,720,0.3865,0.9314359637774903,0.36,0.5806451612903226,0.7275,0.9671052631578947,0.3967741935483871,0.01582,0.043944444444444446,5.5645,0.028749986086040735,0.0075,0.0,0,0,0.29754
0.5,2000,706,669,0.353,0.9475920679886686,0.3345,0.5395161290322581,0.703,0.9697368421052631,0.4491935483870968,0.0128125,0.0383034379671151,4.4115,0.028541040956042707,0.0075,0.0,0,0,0.2810625
0.75,2000,474,458,0.237,0.9662447257383966,0.229,0.36935483870967745,0.6035,0.9855263157894737,0.6266129032258064,0.0036750000000000003,0.01604803493449782,1.5125,0.02383298269705847,0.0055,0.0,0,0,0.20697499999999996
0.8,2000,406,394,0.203,0.9704433497536946,0.197,0.317741935483871,0.5725,0.9881578947368421,0.6798387096774193,0.00283,0.014365482233502539,1.2325,0.02333604643354192,0.0045,0.0,0,0,0.17951
0.825,2000,392,381,0.196,0.9719387755102041,0.1905,0.307258064516129,0.5665,0.9894736842105263,0.6903225806451613,0.002725,0.014304461942257218,1.1765,0.022960103524383154,0.004,0.0,0,0,0.17432499999999998
0.85,2000,292,287,0.146,0.9828767123287672,0.1435,0.2314516129032258,0.5225,0.9973684210526316,0.7661290322580645,0.0015249999999999999,0.010627177700348432,0.7765,0.02196219720644876,0.001,0.0,0,0,0.13692500000000002
0.875,2000,277,273,0.1385,0.9855595667870036,0.1365,0.22016129032258064,0.5155,0.9973684210526316,0.7782258064516129,0.00145,0.010622710622710623,0.7365,0.021792016923427582,0.001,0.0,0,0,0.13015
0.9,2000,268,264,0.134,0.9850746268656716,0.132,0.2129032258064516,0.511,0.9973684210526316,0.785483870967742,0.0014,0.010606060606060605,0.711,0.02170802326872945,0.001,0.0,0,0,0.1258
0.925,2000,248,244,0.124,0.9838709677419355,0.122,0.1967741935483871,0.501,0.9973684210526316,0.8016129032258065,0.0013,0.010655737704918034,0.661,0.02154406392946839,0.001,0.0,0,0,0.1161
0.95,2000,189,186,0.0945,0.9841269841269841,0.093,0.15,0.472,0.9973684210526316,0.8491935483870968,0.001005,0.010806451612903226,0.511,0.0201458082301542,0.001,0.0,0,0,0.087985
0.975,2000,0,0,0.0,,0.0,0.0,0.38,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
1.0,2000,0,0,0.0,,0.0,0.0,0.38,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
