threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,867,714,0.4335,0.8235294117647058,0.357,0.5767366720516963,0.677,0.8398950131233596,0.3982229402261712,0.02238,0.0626890756302521,7.5795,0.028915994334965944,0.0125,0.0,0,0,0.2717225
0.25,2000,728,668,0.364,0.9175824175824175,0.334,0.5395799676898223,0.698,0.9553805774278216,0.4394184168012924,0.0146275,0.04379491017964072,5.0785,0.028669059975072738,0.01,0.0,0,0,0.27398
0.5,2000,680,643,0.34,0.9455882352941176,0.3215,0.5193861066235864,0.692,0.9724409448818898,0.4676898222940226,0.0121525,0.03779937791601866,4.167,0.0284600886516273,0.009,0.0,0,0,0.2705125
0.75,2000,515,488,0.2575,0.9475728155339805,0.244,0.39418416801292405,0.618,0.9816272965879265,0.5953150242326333,0.0043,0.01762295081967213,1.7535,0.024208013201132417,0.007,0.0,0,0,0.21693249999999997
0.8,2000,413,395,0.2065,0.9564164648910412,0.1975,0.31906300484652667,0.575,0.9908136482939632,0.6720516962843296,0.0031450000000000002,0.015924050632911392,1.3435,0.02321007632417604,0.0035,0.0,0,0,0.18063749999999998
0.825,2000,391,376,0.1955,0.9616368286445013,0.188,0.3037156704361874,0.566,0.9921259842519685,0.6890145395799677,0.0029050000000000005,0.01545212765957447,1.2475,0.022916056332178414,0.003,0.0,0,0,0.17285750000000003
0.85,2000,266,259,0.133,0.9736842105263158,0.1295,0.20920840064620355,0.5095,0.9973753280839895,0.7867528271405493,0.001555,0.012007722007722007,0.7705,0.022544043895322826,0.001,0.0,0,0,0.1220925
0.875,2000,239,233,0.1195,0.9748953974895398,0.1165,0.18820678513731826,0.4965,0.9973753280839895,0.808562197092084,0.00141,0.012103004291845493,0.6945,0.022294069640338417,0.001,0.0,0,0,0.10961749999999999
0.9,2000,205,200,0.1025,0.975609756097561,0.1,0.16155088852988692,0.48,0.9973753280839895,0.8360258481421647,0.00121,0.0121,0.589,0.021249988640192896,0.001,0.0,0,0,0.093845
0.925,2000,179,174,0.0895,0.9720670391061452,0.087,0.14054927302100162,0.467,0.9973753280839895,0.8570274636510501,0.00108,0.012413793103448277,0.524,0.021043121523689475,0.001,0.0,0,0,0.0813
0.95,2000,117,114,0.0585,0.9743589743589743,0.057,0.09208400646203554,0.438,1.0,0.9054927302100162,0.000585,0.010263157894736842,0.3,0.014877096691634504,0.0,0.0,0,0,0.054915000000000005
0.975,2000,0,0,0.0,,0.0,0.0,0.381,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
1.0,2000,0,0,0.0,,0.0,0.0,0.381,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
