threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,1111,724,0.5555,0.6516651665166516,0.362,0.5616757176105508,0.673,0.8748241912798875,0.20713731574864236,0.035005,0.09669889502762431,11.4625,0.029669067589566108,0.001,0.0,0,0,0.324995
0.25,2000,880,611,0.44,0.6943181818181818,0.3055,0.474010861132661,0.6395,0.939521800281294,0.35065942591155935,0.0294775,0.09648936170212766,9.5125,0.029249991348478943,0.0,0.0,0,0,0.27602250000000006
0.5,2000,654,507,0.327,0.7752293577981652,0.2535,0.39332816136539955,0.5875,0.939521800281294,0.525989138867339,0.028335000000000003,0.11177514792899408,8.9325,0.02900626568589359,0.0,0.0,0,0,0.22516500000000003
0.75,2000,212,199,0.106,0.9386792452830188,0.0995,0.15438324282389448,0.4525,0.9929676511954993,0.839410395655547,0.008475,0.08517587939698493,2.662,0.020377059991005805,0.0,0.0,0,0,0.09102500000000001
0.8,2000,159,147,0.0795,0.9245283018867925,0.0735,0.11404189294026378,0.4265,0.9929676511954993,0.8805275407292474,0.008209999999999999,0.11170068027210883,2.527,0.020374981977511197,0.0,0.0,0,0,0.06528999999999999
0.825,2000,159,147,0.0795,0.9245283018867925,0.0735,0.11404189294026378,0.4265,0.9929676511954993,0.8805275407292474,0.008209999999999999,0.11170068027210883,2.527,0.020374981977511197,0.0,0.0,0,0,0.06528999999999999
0.85,2000,159,147,0.0795,0.9245283018867925,0.0735,0.11404189294026378,0.4265,0.9929676511954993,0.8805275407292474,0.008209999999999999,0.11170068027210883,2.527,0.020374981977511197,0.0,0.0,0,0,0.06528999999999999
0.875,2000,28,28,0.014,1.0,0.014,0.021722265321955005,0.3695,1.0,0.978277734678045,0.00035000000000000005,0.025,0.112,0.0,0.0,0.0,0,0,0.013649999999999999
0.9,2000,28,28,0.014,1.0,0.014,0.021722265321955005,0.3695,1.0,0.978277734678045,0.00035000000000000005,0.025,0.112,0.0,0.0,0.0,0,0,0.013649999999999999
0.925,2000,28,28,0.014,1.0,0.014,0.021722265321955005,0.3695,1.0,0.978277734678045,0.00035000000000000005,0.025,0.112,0.0,0.0,0.0,0,0,0.013649999999999999
0.95,2000,28,28,0.014,1.0,0.014,0.021722265321955005,0.3695,1.0,0.978277734678045,0.00035000000000000005,0.025,0.112,0.0,0.0,0.0,0,0,0.013649999999999999
0.975,2000,28,28,0.014,1.0,0.014,0.021722265321955005,0.3695,1.0,0.978277734678045,0.00035000000000000005,0.025,0.112,0.0,0.0,0.0,0,0,0.013649999999999999
1.0,2000,28,28,0.014,1.0,0.014,0.021722265321955005,0.3695,1.0,0.978277734678045,0.00035000000000000005,0.025,0.112,0.0,0.0,0.0,0,0,0.013649999999999999
