threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,696,658,0.348,0.9454022988505747,0.329,0.5096824167312161,0.67,0.9619181946403385,0.4817970565453137,0.009895,0.030075987841945286,3.542,0.02745805832091719,0.012,0.0,0,0,0.295105
0.25,2000,696,658,0.348,0.9454022988505747,0.329,0.5096824167312161,0.67,0.9619181946403385,0.4817970565453137,0.009895,0.030075987841945286,3.542,0.02745805832091719,0.012,0.0,0,0,0.295105
0.5,2000,692,657,0.346,0.9494219653179191,0.3285,0.5089078233927188,0.671,0.9661495063469676,0.482571649883811,0.009865,0.030030441400304416,3.526,0.027379154926165935,0.0105,0.0,0,0,0.297635
0.75,2000,489,474,0.2445,0.9693251533742331,0.237,0.36715724244771497,0.5885,0.9915373765867419,0.6258714175058094,0.0037,0.015611814345991562,1.572,0.023918163788039234,0.003,0.0,0,0,0.2273
0.8,2000,462,447,0.231,0.9675324675324676,0.2235,0.34624322230828813,0.575,0.9915373765867419,0.6467854376452362,0.0034225,0.015313199105145415,1.464,0.023546149895992127,0.003,0.0,0,0,0.21407749999999998
0.825,2000,418,406,0.209,0.9712918660287081,0.203,0.3144848954298993,0.5555,0.9943582510578279,0.6793183578621224,0.0028725,0.01415024630541872,1.284,0.023250002413988113,0.002,0.0,0,0,0.1961275
0.85,2000,404,393,0.202,0.9727722772277227,0.1965,0.3044151820294346,0.549,0.9943582510578279,0.6901626646010844,0.0027675,0.014083969465648855,1.224,0.022921174240764227,0.002,0.0,0,0,0.18973250000000003
0.875,2000,320,312,0.16,0.975,0.156,0.24167312161115415,0.51,0.998589562764457,0.7529047250193648,0.0017175,0.011009615384615385,0.888,0.02245799987576902,0.0005,0.0,0,0,0.15328250000000002
0.9,2000,303,296,0.1515,0.976897689768977,0.148,0.2292796281951975,0.502,0.998589562764457,0.7660728117738187,0.0016325,0.011030405405405405,0.843,0.022419042943511155,0.0005,0.0,0,0,0.1453675
0.925,2000,239,235,0.1195,0.9832635983263598,0.1175,0.1820294345468629,0.4715,0.998589562764457,0.8156467854376452,0.0012900000000000001,0.01097872340425532,0.662,0.021835094958078113,0.0005,0.0,0,0,0.11520999999999999
0.95,2000,230,226,0.115,0.9826086956521739,0.113,0.17505809450038728,0.467,0.998589562764457,0.8226181254841208,0.001245,0.011017699115044249,0.6395,0.021583071793429554,0.0005,0.0,0,0,0.11075499999999999
0.975,2000,156,152,0.078,0.9743589743589743,0.076,0.11773818745158791,0.43,0.998589562764457,0.8799380325329202,0.000875,0.011513157894736841,0.4545,0.015541998436674476,0.0005,0.0,0,0,0.074125
1.0,2000,0,0,0.0,,0.0,0.0,0.3545,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
