threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,601,562,0.3005,0.9351081530782029,0.281,0.44603174603174606,0.6375,0.9635135135135136,0.5444444444444444,0.0049050000000000005,0.017455516014234878,2.056,0.025544065283611413,0.0125,0.0,0,0,0.25109499999999996
0.25,2000,589,561,0.2945,0.9524617996604414,0.2805,0.4452380952380952,0.6415,0.9756756756756757,0.5468253968253968,0.004815000000000001,0.01716577540106952,2.004,0.025416047719772905,0.0085,0.0,0,0,0.258685
0.5,2000,578,553,0.289,0.9567474048442907,0.2765,0.4388888888888889,0.6385,0.9783783783783784,0.553968253968254,0.0047325,0.017115732368896925,1.956,0.025165994884446263,0.0075,0.0,0,0,0.2567675
0.75,2000,528,504,0.264,0.9545454545454546,0.252,0.4,0.6145,0.9797297297297297,0.5928571428571429,0.0043575,0.017291666666666667,1.756,0.024083012249320745,0.007,0.0,0,0,0.2336425
0.8,2000,504,481,0.252,0.9543650793650794,0.2405,0.3817460317460317,0.6035,0.981081081081081,0.6111111111111112,0.0041925,0.01743243243243243,1.669,0.0237500062212348,0.0065,0.0,0,0,0.2233075
0.825,2000,469,452,0.2345,0.9637526652452025,0.226,0.35873015873015873,0.5915,0.9878378378378379,0.6349206349206349,0.0039525,0.017488938053097345,1.54,0.023250002413988113,0.004,0.0,0,0,0.2140475
0.85,2000,454,438,0.227,0.9647577092511013,0.219,0.3476190476190476,0.5845,0.9878378378378379,0.6468253968253969,0.003765,0.01719178082191781,1.476,0.022960103524383154,0.004,0.0,0,0,0.207235
0.875,2000,285,279,0.1425,0.9789473684210527,0.1395,0.22142857142857142,0.5085,0.9972972972972973,0.7753968253968254,0.0016525,0.011845878136200718,0.784,0.02154406392946839,0.001,0.0,0,0,0.1358475
0.9,2000,275,269,0.1375,0.9781818181818182,0.1345,0.21349206349206348,0.5035,0.9972972972972973,0.7833333333333333,0.0016025,0.01191449814126394,0.759,0.02154406392946839,0.001,0.0,0,0,0.13089749999999997
0.925,2000,252,247,0.126,0.9801587301587301,0.1235,0.19603174603174603,0.4925,0.9972972972972973,0.8015873015873016,0.001485,0.012024291497975709,0.6975,0.02108719054376706,0.001,0.0,0,0,0.120015
0.95,2000,215,210,0.1075,0.9767441860465116,0.105,0.16666666666666666,0.474,0.9972972972972973,0.830952380952381,0.0013,0.012380952380952381,0.605,0.017168142949230965,0.001,0.0,0,0,0.10169999999999998
0.975,2000,179,175,0.0895,0.9776536312849162,0.0875,0.1388888888888889,0.457,0.9986486486486487,0.8587301587301587,0.0011149999999999999,0.012742857142857143,0.512,0.016457983292639256,0.0005,0.0,0,0,0.08538499999999999
1.0,2000,7,6,0.0035,0.8571428571428571,0.003,0.004761904761904762,0.3725,0.9986486486486487,0.9952380952380953,5.2499999999999995e-05,0.017499999999999998,0.028,0.0,0.0005,0.0,0,0,0.0019474999999999998
