threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,890,769,0.445,0.8640449438202247,0.3845,0.5956622773044152,0.6935,0.8716502115655853,0.38109992254066616,0.0215325,0.05600130039011703,7.302,0.028044055216014382,0.011,0.0,0,0,0.3409675
0.25,2000,842,753,0.421,0.8942992874109263,0.3765,0.5832687838884586,0.7005,0.9139633286318759,0.39504260263361735,0.018705,0.0496812749003984,6.423,0.027875008527189493,0.011,0.0,0,0,0.33579499999999995
0.5,2000,780,732,0.39,0.9384615384615385,0.366,0.5670023237800155,0.7085,0.9661495063469676,0.4144074360960496,0.015692499999999998,0.04287568306010929,5.419,0.027875008527189493,0.0095,0.0,0,0,0.3313075
0.75,2000,529,506,0.2645,0.9565217391304348,0.253,0.3919442292796282,0.6025,0.9858956276445698,0.5979860573199071,0.0052825,0.020879446640316206,2.1165,0.023375003365799785,0.0045,0.0,0,0,0.23871750000000003
0.8,2000,514,491,0.257,0.9552529182879378,0.2455,0.3803253292021689,0.595,0.9858956276445698,0.6096049573973664,0.005095,0.02075356415478615,2.0565,0.023291059187613428,0.0045,0.0,0,0,0.231405
0.825,2000,456,437,0.228,0.9583333333333334,0.2185,0.33849728892331526,0.569,0.9887165021156559,0.6529821843532145,0.00444,0.020320366132723113,1.8165,0.022586040722671893,0.0035,0.0,0,0,0.20706
0.85,2000,444,426,0.222,0.9594594594594594,0.213,0.32997676219984506,0.564,0.9901269393511989,0.6615027110766848,0.004350000000000001,0.02042253521126761,1.7685,0.02225207281298935,0.003,0.0,0,0,0.20265
0.875,2000,306,299,0.153,0.9771241830065359,0.1495,0.2316034082106894,0.504,1.0,0.7629744384198296,0.0016325,0.010919732441471573,0.844,0.021421162819024172,0.0,0.0,0,0,0.1478675
0.9,2000,250,246,0.125,0.984,0.123,0.19054996127033308,0.4775,1.0,0.8063516653756778,0.00133,0.0108130081300813,0.683,0.02120799181284383,0.0,0.0,0,0,0.12166999999999999
0.925,2000,250,246,0.125,0.984,0.123,0.19054996127033308,0.4775,1.0,0.8063516653756778,0.00133,0.0108130081300813,0.683,0.02120799181284383,0.0,0.0,0,0,0.12166999999999999
0.95,2000,232,228,0.116,0.9827586206896551,0.114,0.17660728117738186,0.4685,1.0,0.820294345468629,0.00124,0.01087719298245614,0.638,0.0209610559977591,0.0,0.0,0,0,0.11275999999999999
0.975,2000,197,194,0.0985,0.9847715736040609,0.097,0.15027110766847404,0.4515,1.0,0.8474051123160341,0.001065,0.010979381443298969,0.548,0.020381258218549185,0.0,0.0,0,0,0.095935
1.0,2000,0,0,0.0,,0.0,0.0,0.3545,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
