threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,873,587,0.4365,0.6723940435280642,0.2935,0.5255147717099373,0.6355,0.7746319365798414,0.39659803043867503,0.024099999999999996,0.08211243611584326,8.7965,0.02933606156148016,0.012,0.0,113,0,0.2454
0.25,2000,796,556,0.398,0.6984924623115578,0.278,0.4977618621307073,0.6325,0.8029445073612684,0.4431512981199642,0.02059,0.07406474820143885,7.498,0.028875016141682863,0.0115,0.0,105,0,0.23441
0.5,2000,711,517,0.3555,0.7271448663853727,0.2585,0.4628469113697404,0.6305,0.8425821064552661,0.4879140555058192,0.016614999999999998,0.06427466150870406,6.101,0.028544059023261067,0.01,0.0,93,0,0.221885
0.75,2000,419,322,0.2095,0.7684964200477327,0.161,0.288272157564906,0.5585,0.9003397508493771,0.7036705461056401,0.0058,0.03602484472049689,2.0775,0.02316600875928998,0.0065,0.0,65,0,0.1422
0.8,2000,417,321,0.2085,0.7697841726618705,0.1605,0.2873769024171889,0.5585,0.9014722536806342,0.7045658012533572,0.005785,0.03604361370716511,2.0695,0.023085104476194825,0.006,0.0,65,0,0.142715
0.825,2000,356,276,0.178,0.7752808988764045,0.138,0.24709042076991944,0.544,0.9195922989807475,0.7448522829006267,0.003695,0.02677536231884058,1.442,0.0228749995585531,0.006,0.0,54,0,0.12230500000000001
0.85,2000,291,233,0.1455,0.8006872852233677,0.1165,0.20859444941808417,0.5315,0.9399773499433749,0.7869292748433303,0.0015275,0.013111587982832618,0.724,0.02246316871605813,0.005,0.0,43,0,0.1049725
0.875,2000,287,230,0.1435,0.8013937282229965,0.115,0.20590868397493287,0.5305,0.9411098527746319,0.7896150402864817,0.001505,0.013086956521739131,0.712,0.02233603881904855,0.005,0.0,42,0,0.103495
0.9,2000,279,225,0.1395,0.8064516129032258,0.1125,0.20143240823634737,0.5295,0.9445073612684032,0.7940913160250671,0.0014525000000000002,0.012911111111111113,0.684,0.022000021999701858,0.004,0.0,41,0,0.1030475
0.925,2000,255,205,0.1275,0.803921568627451,0.1025,0.18352730528200537,0.5215,0.9490373725934315,0.8119964189794091,0.0013525,0.013195121951219512,0.634,0.021754141198471185,0.004,0.0,37,0,0.0931475
0.95,2000,248,198,0.124,0.7983870967741935,0.099,0.17726051924798567,0.518,0.9490373725934315,0.8182632050134289,0.0013175,0.013308080808080809,0.6165,0.0214600921026431,0.004,0.0,37,0,0.0896825
0.975,2000,148,119,0.074,0.8040540540540541,0.0595,0.10653536257833482,0.488,0.970554926387316,0.8907788719785139,0.0006825,0.011470588235294118,0.354,0.015166995581239462,0.002,0.0,22,0,0.0548175
1.0,2000,31,26,0.0155,0.8387096774193549,0.013,0.023276633840644583,0.452,0.9943374858437146,0.9767233661593554,0.00013000000000000002,0.01,0.065,0.0,0.0,0.0,5,0,0.012870000000000001
