threshold,tasks,executed,successes,coverage,success_on_executed,success_all_tasks,success_on_feasible,decision_accuracy,correct_abstention_rate,unnecessary_abstention_rate,mean_cost,cost_per_success,mean_latency_ms,runtime_p95_ms,unsafe_rate,mean_excess_access,denied_at_execution,unauthorized_executions,utility
0.0,2000,352,316,0.176,0.8977272727272727,0.158,0.25483870967741934,0.522,0.9578947368421052,0.7419354838709677,0.0079425,0.05026898734177215,2.4995,0.02354615135118365,0.0135,0.0,0,0,0.1230575
0.25,2000,352,316,0.176,0.8977272727272727,0.158,0.25483870967741934,0.522,0.9578947368421052,0.7419354838709677,0.0079425,0.05026898734177215,2.4995,0.02354615135118365,0.0135,0.0,0,0,0.1230575
0.5,2000,322,306,0.161,0.9503105590062112,0.153,0.2467741935483871,0.527,0.9842105263157894,0.75,0.0075675,0.04946078431372549,2.3795,0.02341598301427439,0.0035,0.0,0,0,0.1384325
0.75,2000,251,236,0.1255,0.9402390438247012,0.118,0.19032258064516128,0.4925,0.9855263157894737,0.8064516129032258,0.006889999999999999,0.05838983050847457,2.1375,0.0223771232413128,0.003,0.0,0,0,0.10510999999999998
0.8,2000,123,116,0.0615,0.943089430894309,0.058,0.0935483870967742,0.4355,0.993421052631579,0.9048387096774193,0.00529,0.09120689655172413,1.6175,0.021377066150307652,0.0,0.0,0,0,0.05271
0.825,2000,123,116,0.0615,0.943089430894309,0.058,0.0935483870967742,0.4355,0.993421052631579,0.9048387096774193,0.00529,0.09120689655172413,1.6175,0.021377066150307652,0.0,0.0,0,0,0.05271
0.85,2000,123,116,0.0615,0.943089430894309,0.058,0.0935483870967742,0.4355,0.993421052631579,0.9048387096774193,0.00529,0.09120689655172413,1.6175,0.021377066150307652,0.0,0.0,0,0,0.05271
0.875,2000,123,116,0.0615,0.943089430894309,0.058,0.0935483870967742,0.4355,0.993421052631579,0.9048387096774193,0.00529,0.09120689655172413,1.6175,0.021377066150307652,0.0,0.0,0,0,0.05271
0.9,2000,123,116,0.0615,0.943089430894309,0.058,0.0935483870967742,0.4355,0.993421052631579,0.9048387096774193,0.00529,0.09120689655172413,1.6175,0.021377066150307652,0.0,0.0,0,0,0.05271
0.925,2000,38,38,0.019,1.0,0.019,0.03064516129032258,0.399,1.0,0.9693548387096774,0.00019,0.01,0.095,0.0,0.0,0.0,0,0,0.018810000000000004
0.95,2000,38,38,0.019,1.0,0.019,0.03064516129032258,0.399,1.0,0.9693548387096774,0.00019,0.01,0.095,0.0,0.0,0.0,0,0,0.018810000000000004
0.975,2000,0,0,0.0,,0.0,0.0,0.38,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
1.0,2000,0,0,0.0,,0.0,0.0,0.38,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0
